"id";"latitude";"longitude";"name";"light";"number";"address";"activate";"no_available";"total_bases";"dock_bikes";"free_bases";"reservations_count";"district";"neighborhood";"startDate"
1;"40.4168961";"-3.7024255";"Puerta del Sol A";2;"1a";"Puerta del Sol nº 1";1;0;24;9;14;0;"01  CENTRO";"01-06 SOL";2014-06-23
2;"40.4170009";"-3.7024207";"Puerta del Sol B";0;"1b";"Puerta del Sol nº 1";1;0;24;6;18;0;"01  CENTRO";"01-06 SOL";2014-06-23
3;"40.4205886";"-3.7058415";"Miguel Moya";0;"2";"Calle Miguel Moya nº 1";1;0;24;6;18;0;"01  CENTRO";"01-05 UNIVERSIDAD";2014-06-23
4;"40.4302937";"-3.7069171";"Plaza Conde Suchil";2;"3";"Plaza del Conde Suchil nº 2-4";1;0;18;12;6;0;"07  CHAMBERÍ";"07-02 ARAPILES";2014-06-23
5;"40.4285524";"-3.7025875";"Malasaña";0;"4";"Calle Manuela Malasaña nº 5";1;0;24;1;20;0;"01  CENTRO";"01-05 UNIVERSIDAD";2014-06-23
6;"40.4285280";"-3.7020599";"Fuencarral";0;"5";"Calle Fuencarral nº 108";1;0;27;2;24;0;"01  CENTRO";"01-04 JUSTICIA";2014-06-23
7;"40.4241480";"-3.6984470";"Colegio Arquitectos";0;"6";"Calle Hortaleza nº 63";1;0;24;5;19;0;"01  CENTRO";"01-04 JUSTICIA";2014-06-23
8;"40.4251906";"-3.6977715";"Hortaleza";0;"7";"Calle Hortaleza nº 75";1;0;21;0;15;0;"01  CENTRO";"01-04 JUSTICIA";2014-06-23
9;"40.4278682";"-3.6954403";"Alonso Martínez";2;"8";"Plaza de Alonso Martínez nº 5";1;0;24;15;9;0;"07  CHAMBERÍ";"07-04 ALMAGRO";2014-06-23
10;"40.4156057";"-3.7095084";"Plaza de San Miguel";1;"9";"Plaza de San Miguel nº 9";1;0;24;17;7;0;"01  CENTRO";"01-01 PALACIO";2014-06-23
